Data tragerii,N.1,N.2,N.3,N.4,N.5,J
01-04-12,1,45,36,6,13,13
05-04-12,16,19,17,5,44,4
08-04-12,28,24,5,4,30,15
15-04-12,22,25,24,13,16,3
15-04-12,29,38,31,20,24,10
19-04-12,21,23,17,7,39,5
22-04-12,26,13,21,43,9,13
26-04-12,44,17,42,8,40,3
29-04-12,30,31,6,1,2,15
03-05-12,18,24,12,30,31,20
06-05-12,6,45,30,37,44,17
10-05-12,8,18,17,6,30,5
13-05-12,42,11,45,34,28,10
17-05-12,44,22,18,12,13,15
20-05-12,8,43,25,35,45,4
24-05-12,29,6,38,43,34,6
27-05-12,18,25,14,36,33,4
31-05-12,9,11,40,10,36,6
03-06-12,6,13,18,8,25,2
07-06-12,1,37,8,32,2,10
10-06-12,45,17,35,37,3,15
14-06-12,7,35,11,21,16,4
17-06-12,40,14,44,37,45,11
21-06-12,7,33,23,31,45,7
24-06-12,45,40,20,18,16,15
28-06-12,9,1,45,42,40,6
01-07-12,1,17,38,29,19,12
05-07-12,37,39,28,26,12,4
08-07-12,13,8,23,5,15,12
12-07-12,2,43,45,39,27,2
15-07-12,44,22,32,41,43,8
19-07-12,40,8,15,35,34,11
22-07-12,37,6,4,23,26,3
26-07-12,15,39,6,21,33,20
29-07-12,4,17,45,1,5,18
02-08-12,43,40,34,30,17,19
05-08-12,34,2,1,30,11,12
09-08-12,8,29,26,20,45,6
12-08-12,19,17,45,5,21,1
16-08-12,10,28,18,24,12,14
19-08-12,15,3,7,35,23,4
23-08-12,30,38,32,9,34,10
26-08-12,8,37,16,27,42,11
30-08-12,11,29,14,26,39,5
02-09-12,34,35,23,42,18,15
06-09-12,27,31,28,7,23,18
09-09-12,22,3,33,12,13,7
16-09-12,31,30,1,19,35,16
16-09-12,3,29,1,10,35,1
20-09-12,12,35,17,23,18,6
23-09-12,4,9,10,18,38,1
27-09-12,30,17,34,45,27,14
30-09-12,14,28,5,8,22,1
04-10-12,7,22,3,8,9,3
07-10-12,7,25,3,8,39,15
11-10-12,37,44,20,29,34,12
14-10-12,35,33,37,3,20,7
18-10-12,40,5,33,23,12,5
21-10-12,32,26,18,25,22,12
25-10-12,33,16,41,26,42,3
28-10-12,41,16,36,21,5,10
01-11-12,33,4,13,40,6,7
04-11-12,35,33,40,34,26,16
08-11-12,14,18,24,40,11,5
11-11-12,8,5,20,33,17,4
15-11-12,2,6,43,39,30,1
18-11-12,23,36,39,1,17,14
22-11-12,27,36,22,28,16,4
25-11-12,30,43,15,29,24,10
29-11-12,41,18,43,34,1,5
02-12-12,22,8,37,33,29,20
06-12-12,42,3,5,18,28,13
09-12-12,18,37,16,39,43,19
13-12-12,12,16,2,19,22,5
16-12-12,37,17,26,36,44,2
